zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
29831,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29832,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29839,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29838,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29127,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29123,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29129,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29003,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29006,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29860,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29039,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29038,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29037,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29666,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29146,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29828,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29817,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29847,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29841,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29842,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29848,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29118,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29112,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29115,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
29835,162,Aiken Electric Coop Inc,SC,Bundled,Cooperative,0.12851436,0.071599045,0.130969314
